state,date,ML,Low_90,High_90,Low_50,High_50
Andaman and Nicobar Islands,2020-04-16,3.0,1.01,6.99,2.04,4.45
Andaman and Nicobar Islands,2020-04-17,2.88,0.99,6.28,1.99,4.16
Andaman and Nicobar Islands,2020-04-18,2.7800000000000002,0.9400000000000001,5.8100000000000005,2.0,4.0200000000000005
Andaman and Nicobar Islands,2020-04-19,2.7,0.97,5.5600000000000005,1.87,3.77
Andaman and Nicobar Islands,2020-04-20,2.63,0.93,5.3,1.9100000000000001,3.73
Andaman and Nicobar Islands,2020-04-21,2.84,1.04,5.47,2.04,3.89
Andaman and Nicobar Islands,2020-04-22,2.69,1.01,5.11,1.93,3.64
Andaman and Nicobar Islands,2020-04-23,2.58,0.9400000000000001,4.8,1.86,3.47
Andhra Pradesh,2020-03-18,3.0,1.01,6.99,2.04,4.45
Andhra Pradesh,2020-03-19,2.88,0.99,6.28,1.99,4.16
Andhra Pradesh,2020-03-20,2.7800000000000002,0.9400000000000001,5.8100000000000005,2.0,4.0200000000000005
Andhra Pradesh,2020-03-21,2.7,0.97,5.5600000000000005,1.87,3.77
Andhra Pradesh,2020-03-22,2.63,0.93,5.3,1.9100000000000001,3.73
Andhra Pradesh,2020-03-23,2.57,0.89,5.09,1.86,3.61
Andhra Pradesh,2020-03-24,2.77,0.98,5.24,2.0,3.7800000000000002
Andhra Pradesh,2020-03-25,2.64,0.93,4.91,1.87,3.5300000000000002
Andhra Pradesh,2020-03-26,2.5300000000000002,0.93,4.71,1.8900000000000001,3.47
Andhra Pradesh,2020-03-27,2.63,0.98,4.7,2.0100000000000002,3.5700000000000003
Andhra Pradesh,2020-03-28,3.48,1.6400000000000001,5.48,2.79,4.4
Andhra Pradesh,2020-03-29,3.74,2.05,5.45,3.06,4.47
Andhra Pradesh,2020-03-30,3.48,2.06,4.95,2.97,4.17
Andhra Pradesh,2020-03-31,3.3000000000000003,2.07,4.57,2.82,3.85
Andhra Pradesh,2020-04-01,3.14,2.06,4.25,2.72,3.62
