,ML,Low_90,High_90,Low_50,High_50,state,district
0,3.0,1.01,6.99,2.04,4.45,Andaman and Nicobar Islands,North and Middle Andaman
1,2.87,1.02,6.29,1.95,4.11,Andaman and Nicobar Islands,North and Middle Andaman
2,2.77,0.96,5.78,1.96,3.96,Andaman and Nicobar Islands,North and Middle Andaman
3,2.69,0.98,5.49,1.93,3.81,Andaman and Nicobar Islands,North and Middle Andaman
4,2.62,0.97,5.24,1.93,3.72,Andaman and Nicobar Islands,North and Middle Andaman
5,2.5500000000000003,0.98,5.0600000000000005,1.87,3.58,Andaman and Nicobar Islands,North and Middle Andaman
6,2.5,0.97,4.89,1.79,3.43,Andaman and Nicobar Islands,North and Middle Andaman
7,2.44,0.9400000000000001,4.72,1.82,3.41,Andaman and Nicobar Islands,North and Middle Andaman
8,2.4,0.92,4.58,1.78,3.3200000000000003,Andaman and Nicobar Islands,North and Middle Andaman
9,2.36,0.93,4.49,1.78,3.2800000000000002,Andaman and Nicobar Islands,North and Middle Andaman
10,2.32,0.93,4.4,1.75,3.21,Andaman and Nicobar Islands,North and Middle Andaman
11,2.2800000000000002,0.89,4.2700000000000005,1.68,3.1,Andaman and Nicobar Islands,North and Middle Andaman
12,2.25,0.9,4.21,1.67,3.06,Andaman and Nicobar Islands,North and Middle Andaman
13,2.22,0.88,4.12,1.6400000000000001,3.0,Andaman and Nicobar Islands,North and Middle Andaman
14,2.19,0.88,4.0600000000000005,1.67,3.0100000000000002,Andaman and Nicobar Islands,North and Middle Andaman
15,2.17,0.86,3.98,1.61,2.92,Andaman and Nicobar Islands,North and Middle Andaman
16,2.14,0.87,3.94,1.62,2.91,Andaman and Nicobar Islands,North and Middle Andaman
17,2.12,0.85,3.87,1.61,2.88,Andaman and Nicobar Islands,North and Middle Andaman
18,2.1,0.8200000000000001,3.79,1.59,2.84,Andaman and Nicobar Islands,North and Middle Andaman
19,3.0,1.01,6.99,2.04,4.45,Andaman and Nicobar Islands,South Andaman
20,2.31,1.03,4.0200000000000005,1.77,3.0300000000000002,Andaman and Nicobar Islands,South Andaman
21,2.09,1.02,3.42,1.68,2.69,Andaman and Nicobar Islands,South Andaman
22,1.96,1.01,3.08,1.61,2.48,Andaman and Nicobar Islands,South Andaman
23,1.82,0.98,2.82,1.51,2.2800000000000002,Andaman and Nicobar Islands,South Andaman
24,1.77,0.98,2.66,1.47,2.17,Andaman and Nicobar Islands,South Andaman
25,1.72,1.0,2.56,1.46,2.11,Andaman and Nicobar Islands,South Andaman
26,1.6600000000000001,0.97,2.42,1.3900000000000001,1.99,Andaman and Nicobar Islands,South Andaman
27,1.58,0.93,2.29,1.3,1.86,Andaman and Nicobar Islands,South Andaman
28,1.51,0.91,2.2,1.31,1.85,Andaman and Nicobar Islands,South Andaman
29,1.46,0.87,2.1,1.25,1.76,Andaman and Nicobar Islands,South Andaman
30,1.42,0.85,2.0300000000000002,1.22,1.71,Andaman and Nicobar Islands,South Andaman
31,1.3900000000000001,0.8300000000000001,1.97,1.17,1.6400000000000001,Andaman and Nicobar Islands,South Andaman
32,1.36,0.84,1.95,1.17,1.6300000000000001,Andaman and Nicobar Islands,South Andaman
33,1.33,0.8200000000000001,1.9000000000000001,1.16,1.61,Andaman and Nicobar Islands,South Andaman
34,1.31,0.8,1.85,1.1500000000000001,1.59,Andaman and Nicobar Islands,South Andaman
35,1.29,0.8,1.83,1.1300000000000001,1.56,Andaman and Nicobar Islands,South Andaman
36,1.27,0.79,1.8,1.11,1.53,Andaman and Nicobar Islands,South Andaman
37,1.26,0.78,1.77,1.09,1.5,Andaman and Nicobar Islands,South Andaman
38,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Anantapur
39,1.85,0.8200000000000001,3.11,1.47,2.44,Andhra Pradesh,Anantapur
40,1.68,0.85,2.69,1.35,2.12,Andhra Pradesh,Anantapur
41,1.59,0.86,2.46,1.33,2.0,Andhra Pradesh,Anantapur
42,1.53,0.85,2.2800000000000002,1.3,1.9000000000000001,Andhra Pradesh,Anantapur
43,1.51,0.9,2.22,1.3,1.85,Andhra Pradesh,Anantapur
44,1.5,0.91,2.13,1.3,1.81,Andhra Pradesh,Anantapur
45,1.48,0.92,2.06,1.25,1.72,Andhra Pradesh,Anantapur
46,1.46,0.96,2.04,1.29,1.74,Andhra Pradesh,Anantapur
47,1.45,0.96,1.98,1.26,1.68,Andhra Pradesh,Anantapur
48,1.45,0.98,1.95,1.27,1.67,Andhra Pradesh,Anantapur
49,1.43,0.99,1.92,1.25,1.6300000000000001,Andhra Pradesh,Anantapur
50,1.43,1.0,1.8900000000000001,1.28,1.6500000000000001,Andhra Pradesh,Anantapur
51,1.41,1.01,1.87,1.24,1.59,Andhra Pradesh,Anantapur
52,1.4000000000000001,1.02,1.85,1.26,1.6,Andhra Pradesh,Anantapur
53,1.3900000000000001,1.01,1.81,1.25,1.58,Andhra Pradesh,Anantapur
54,1.37,0.99,1.76,1.24,1.56,Andhra Pradesh,Anantapur
55,1.35,0.98,1.73,1.22,1.53,Andhra Pradesh,Anantapur
56,1.34,0.97,1.7,1.19,1.49,Andhra Pradesh,Anantapur
57,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Chittoor
58,1.74,0.81,2.8000000000000003,1.3900000000000001,2.23,Andhra Pradesh,Chittoor
59,1.55,0.8300000000000001,2.4,1.29,1.95,Andhra Pradesh,Chittoor
60,1.43,0.78,2.12,1.2,1.76,Andhra Pradesh,Chittoor
61,1.3800000000000001,0.8200000000000001,2.0300000000000002,1.16,1.6600000000000001,Andhra Pradesh,Chittoor
62,1.35,0.8300000000000001,1.94,1.16,1.62,Andhra Pradesh,Chittoor
63,1.33,0.8300000000000001,1.86,1.16,1.59,Andhra Pradesh,Chittoor
64,1.29,0.8300000000000001,1.8,1.12,1.52,Andhra Pradesh,Chittoor
65,1.27,0.8300000000000001,1.75,1.11,1.49,Andhra Pradesh,Chittoor
66,1.25,0.8300000000000001,1.71,1.07,1.43,Andhra Pradesh,Chittoor
67,1.23,0.8300000000000001,1.68,1.09,1.44,Andhra Pradesh,Chittoor
68,1.22,0.8300000000000001,1.6500000000000001,1.09,1.43,Andhra Pradesh,Chittoor
69,1.2,0.8200000000000001,1.61,1.08,1.41,Andhra Pradesh,Chittoor
70,1.19,0.81,1.58,1.06,1.3800000000000001,Andhra Pradesh,Chittoor
71,1.18,0.81,1.56,1.05,1.36,Andhra Pradesh,Chittoor
72,1.18,0.8200000000000001,1.56,1.07,1.3800000000000001,Andhra Pradesh,Chittoor
73,1.16,0.8,1.52,1.04,1.34,Andhra Pradesh,Chittoor
74,1.1500000000000001,0.81,1.52,1.05,1.35,Andhra Pradesh,Chittoor
75,1.1500000000000001,0.81,1.51,1.03,1.32,Andhra Pradesh,Chittoor
76,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,East Godavari
77,1.99,0.9,3.45,1.49,2.56,Andhra Pradesh,East Godavari
78,1.76,0.8300000000000001,2.86,1.34,2.19,Andhra Pradesh,East Godavari
79,1.68,0.85,2.63,1.3800000000000001,2.13,Andhra Pradesh,East Godavari
80,1.59,0.85,2.45,1.32,1.99,Andhra Pradesh,East Godavari
81,1.56,0.88,2.36,1.26,1.87,Andhra Pradesh,East Godavari
82,1.5,0.86,2.23,1.27,1.84,Andhra Pradesh,East Godavari
83,1.49,0.88,2.17,1.28,1.82,Andhra Pradesh,East Godavari
84,1.45,0.88,2.1,1.26,1.77,Andhra Pradesh,East Godavari
85,1.42,0.87,2.0300000000000002,1.22,1.7,Andhra Pradesh,East Godavari
86,1.3900000000000001,0.87,1.98,1.21,1.67,Andhra Pradesh,East Godavari
87,1.35,0.8300000000000001,1.8900000000000001,1.17,1.61,Andhra Pradesh,East Godavari
88,1.34,0.85,1.8800000000000001,1.18,1.61,Andhra Pradesh,East Godavari
89,1.32,0.85,1.85,1.1400000000000001,1.55,Andhra Pradesh,East Godavari
90,1.3,0.84,1.81,1.1300000000000001,1.53,Andhra Pradesh,East Godavari
91,1.28,0.8300000000000001,1.77,1.1300000000000001,1.52,Andhra Pradesh,East Godavari
92,1.26,0.8200000000000001,1.74,1.11,1.49,Andhra Pradesh,East Godavari
93,1.24,0.81,1.71,1.08,1.45,Andhra Pradesh,East Godavari
94,1.23,0.79,1.67,1.09,1.46,Andhra Pradesh,East Godavari
95,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Guntur
96,1.46,0.79,2.16,1.19,1.76,Andhra Pradesh,Guntur
97,1.37,0.88,1.94,1.2,1.6400000000000001,Andhra Pradesh,Guntur
98,1.33,0.9,1.79,1.18,1.55,Andhra Pradesh,Guntur
99,1.34,0.97,1.76,1.22,1.55,Andhra Pradesh,Guntur
100,1.36,1.02,1.74,1.25,1.55,Andhra Pradesh,Guntur
101,1.37,1.06,1.72,1.25,1.52,Andhra Pradesh,Guntur
102,1.3800000000000001,1.09,1.71,1.29,1.55,Andhra Pradesh,Guntur
103,1.3800000000000001,1.09,1.67,1.28,1.52,Andhra Pradesh,Guntur
104,1.3800000000000001,1.1,1.6500000000000001,1.29,1.52,Andhra Pradesh,Guntur
105,1.37,1.11,1.6400000000000001,1.28,1.5,Andhra Pradesh,Guntur
106,1.36,1.11,1.62,1.26,1.47,Andhra Pradesh,Guntur
107,1.35,1.11,1.61,1.28,1.49,Andhra Pradesh,Guntur
108,1.33,1.09,1.57,1.25,1.45,Andhra Pradesh,Guntur
109,1.32,1.08,1.55,1.25,1.45,Andhra Pradesh,Guntur
110,1.29,1.07,1.54,1.2,1.3900000000000001,Andhra Pradesh,Guntur
111,1.27,1.05,1.51,1.19,1.3800000000000001,Andhra Pradesh,Guntur
112,1.24,1.03,1.48,1.18,1.37,Andhra Pradesh,Guntur
113,1.22,1.01,1.46,1.16,1.35,Andhra Pradesh,Guntur
114,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Krishna
115,1.9100000000000001,1.04,2.88,1.59,2.36,Andhra Pradesh,Krishna
116,1.85,1.19,2.6,1.59,2.17,Andhra Pradesh,Krishna
117,1.84,1.29,2.46,1.62,2.1,Andhra Pradesh,Krishna
118,1.85,1.37,2.38,1.69,2.11,Andhra Pradesh,Krishna
119,1.8800000000000001,1.46,2.35,1.74,2.11,Andhra Pradesh,Krishna
120,1.87,1.49,2.29,1.74,2.07,Andhra Pradesh,Krishna
121,1.84,1.49,2.22,1.71,2.0100000000000002,Andhra Pradesh,Krishna
122,1.78,1.46,2.13,1.68,1.96,Andhra Pradesh,Krishna
123,1.72,1.42,2.05,1.61,1.87,Andhra Pradesh,Krishna
124,1.6500000000000001,1.36,1.95,1.56,1.81,Andhra Pradesh,Krishna
125,1.59,1.32,1.8900000000000001,1.47,1.7,Andhra Pradesh,Krishna
126,1.54,1.27,1.81,1.46,1.69,Andhra Pradesh,Krishna
127,1.5,1.25,1.78,1.42,1.6400000000000001,Andhra Pradesh,Krishna
128,1.47,1.22,1.73,1.37,1.58,Andhra Pradesh,Krishna
129,1.43,1.19,1.69,1.35,1.56,Andhra Pradesh,Krishna
130,1.3900000000000001,1.16,1.6500000000000001,1.3,1.5,Andhra Pradesh,Krishna
131,1.36,1.1300000000000001,1.61,1.28,1.48,Andhra Pradesh,Krishna
132,1.33,1.1,1.57,1.26,1.46,Andhra Pradesh,Krishna
133,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Kurnool
134,1.49,0.86,2.15,1.27,1.81,Andhra Pradesh,Kurnool
135,1.4000000000000001,0.9400000000000001,1.92,1.25,1.6600000000000001,Andhra Pradesh,Kurnool
136,1.3900000000000001,1.0,1.82,1.25,1.59,Andhra Pradesh,Kurnool
137,1.3900000000000001,1.04,1.76,1.27,1.57,Andhra Pradesh,Kurnool
138,1.41,1.1,1.75,1.3,1.57,Andhra Pradesh,Kurnool
139,1.43,1.1500000000000001,1.75,1.34,1.59,Andhra Pradesh,Kurnool
140,1.44,1.17,1.73,1.34,1.57,Andhra Pradesh,Kurnool
141,1.45,1.2,1.73,1.37,1.59,Andhra Pradesh,Kurnool
142,1.46,1.21,1.71,1.3800000000000001,1.59,Andhra Pradesh,Kurnool
143,1.46,1.23,1.71,1.3800000000000001,1.58,Andhra Pradesh,Kurnool
144,1.46,1.23,1.69,1.3800000000000001,1.57,Andhra Pradesh,Kurnool
145,1.45,1.23,1.68,1.3800000000000001,1.57,Andhra Pradesh,Kurnool
146,1.43,1.22,1.6600000000000001,1.35,1.53,Andhra Pradesh,Kurnool
147,1.4000000000000001,1.21,1.6400000000000001,1.34,1.52,Andhra Pradesh,Kurnool
148,1.37,1.17,1.59,1.29,1.46,Andhra Pradesh,Kurnool
149,1.33,1.1300000000000001,1.54,1.26,1.43,Andhra Pradesh,Kurnool
150,1.29,1.09,1.49,1.23,1.4000000000000001,Andhra Pradesh,Kurnool
151,1.26,1.07,1.47,1.2,1.37,Andhra Pradesh,Kurnool
152,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Prakasam
153,1.78,0.8300000000000001,2.99,1.41,2.32,Andhra Pradesh,Prakasam
154,1.57,0.8,2.5100000000000002,1.29,2.0100000000000002,Andhra Pradesh,Prakasam
155,1.46,0.78,2.2600000000000002,1.22,1.84,Andhra Pradesh,Prakasam
156,1.4000000000000001,0.76,2.09,1.19,1.75,Andhra Pradesh,Prakasam
157,1.3800000000000001,0.79,2.02,1.1500000000000001,1.6600000000000001,Andhra Pradesh,Prakasam
158,1.34,0.8,1.95,1.16,1.6400000000000001,Andhra Pradesh,Prakasam
159,1.31,0.8,1.8800000000000001,1.1300000000000001,1.58,Andhra Pradesh,Prakasam
160,1.29,0.81,1.84,1.1300000000000001,1.56,Andhra Pradesh,Prakasam
161,1.27,0.8,1.78,1.12,1.53,Andhra Pradesh,Prakasam
162,1.26,0.79,1.73,1.09,1.48,Andhra Pradesh,Prakasam
163,1.23,0.79,1.7,1.09,1.47,Andhra Pradesh,Prakasam
164,1.22,0.79,1.67,1.09,1.46,Andhra Pradesh,Prakasam
165,1.2,0.79,1.6500000000000001,1.07,1.43,Andhra Pradesh,Prakasam
166,1.19,0.79,1.6300000000000001,1.05,1.4000000000000001,Andhra Pradesh,Prakasam
167,1.17,0.78,1.6,1.03,1.37,Andhra Pradesh,Prakasam
168,1.16,0.78,1.59,1.01,1.34,Andhra Pradesh,Prakasam
169,1.1500000000000001,0.76,1.55,1.02,1.35,Andhra Pradesh,Prakasam
170,1.1400000000000001,0.76,1.54,0.99,1.31,Andhra Pradesh,Prakasam
171,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,S.P.S. Nellore
172,1.6,0.75,2.65,1.27,2.07,Andhra Pradesh,S.P.S. Nellore
173,1.43,0.74,2.25,1.1500000000000001,1.78,Andhra Pradesh,S.P.S. Nellore
174,1.37,0.77,2.09,1.1500000000000001,1.7,Andhra Pradesh,S.P.S. Nellore
175,1.34,0.79,1.98,1.11,1.6,Andhra Pradesh,S.P.S. Nellore
176,1.31,0.79,1.8800000000000001,1.11,1.56,Andhra Pradesh,S.P.S. Nellore
177,1.29,0.8200000000000001,1.84,1.11,1.53,Andhra Pradesh,S.P.S. Nellore
178,1.28,0.8300000000000001,1.79,1.1300000000000001,1.53,Andhra Pradesh,S.P.S. Nellore
179,1.27,0.84,1.75,1.1300000000000001,1.51,Andhra Pradesh,S.P.S. Nellore
180,1.26,0.85,1.72,1.12,1.48,Andhra Pradesh,S.P.S. Nellore
181,1.25,0.85,1.68,1.08,1.42,Andhra Pradesh,S.P.S. Nellore
182,1.24,0.85,1.6500000000000001,1.1,1.43,Andhra Pradesh,S.P.S. Nellore
183,1.23,0.86,1.6400000000000001,1.09,1.41,Andhra Pradesh,S.P.S. Nellore
184,1.22,0.84,1.59,1.08,1.3900000000000001,Andhra Pradesh,S.P.S. Nellore
185,1.21,0.86,1.6,1.05,1.35,Andhra Pradesh,S.P.S. Nellore
186,1.19,0.85,1.57,1.08,1.3800000000000001,Andhra Pradesh,S.P.S. Nellore
187,1.18,0.85,1.56,1.06,1.35,Andhra Pradesh,S.P.S. Nellore
188,1.17,0.8300000000000001,1.52,1.06,1.35,Andhra Pradesh,S.P.S. Nellore
189,1.16,0.8300000000000001,1.51,1.04,1.32,Andhra Pradesh,S.P.S. Nellore
190,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Srikakulam
191,2.61,0.98,5.24,1.86,3.64,Andhra Pradesh,Srikakulam
192,2.4,0.9400000000000001,4.58,1.76,3.29,Andhra Pradesh,Srikakulam
193,2.25,0.93,4.21,1.68,3.06,Andhra Pradesh,Srikakulam
194,2.14,0.85,3.87,1.55,2.82,Andhra Pradesh,Srikakulam
195,2.18,0.9400000000000001,3.86,1.6600000000000001,2.89,Andhra Pradesh,Srikakulam
196,2.07,0.89,3.61,1.62,2.77,Andhra Pradesh,Srikakulam
