state,date,new_cases,smoothed_9d
Andaman and Nicobar Islands,2020-03-14,0,0.0
Andaman and Nicobar Islands,2020-03-15,0,0.0
Andaman and Nicobar Islands,2020-03-16,0,0.0
Andaman and Nicobar Islands,2020-03-17,0,0.0
Andaman and Nicobar Islands,2020-03-18,0,0.0
Andaman and Nicobar Islands,2020-03-19,0,0.0
Andaman and Nicobar Islands,2020-03-20,0,0.0
Andaman and Nicobar Islands,2020-03-21,0,0.0
Andaman and Nicobar Islands,2020-03-22,0,0.0
Andaman and Nicobar Islands,2020-03-23,0,0.0
Andaman and Nicobar Islands,2020-03-24,0,1.0
Andaman and Nicobar Islands,2020-03-25,0,1.0
Andaman and Nicobar Islands,2020-03-26,1,1.0
Andaman and Nicobar Islands,2020-03-27,5,1.0
Andaman and Nicobar Islands,2020-03-28,3,1.0
Andaman and Nicobar Islands,2020-03-29,0,1.0
Andaman and Nicobar Islands,2020-03-30,1,1.0
Andaman and Nicobar Islands,2020-03-31,0,1.0
Andaman and Nicobar Islands,2020-04-01,0,0.0
Andaman and Nicobar Islands,2020-04-02,0,0.0
Andaman and Nicobar Islands,2020-04-03,0,0.0
Andaman and Nicobar Islands,2020-04-04,0,0.0
Andaman and Nicobar Islands,2020-04-05,0,0.0
Andaman and Nicobar Islands,2020-04-06,0,0.0
Andaman and Nicobar Islands,2020-04-07,0,0.0
Andaman and Nicobar Islands,2020-04-08,1,0.0
Andaman and Nicobar Islands,2020-04-09,0,0.0
Andaman and Nicobar Islands,2020-04-10,0,0.0
Andaman and Nicobar Islands,2020-04-11,0,0.0
Andaman and Nicobar Islands,2020-04-12,0,0.0
Andaman and Nicobar Islands,2020-04-13,0,0.0
Andaman and Nicobar Islands,2020-04-14,0,0.0
Andaman and Nicobar Islands,2020-04-15,0,0.0
Andaman and Nicobar Islands,2020-04-16,0,1.0
Andaman and Nicobar Islands,2020-04-17,1,1.0
Andaman and Nicobar Islands,2020-04-18,2,1.0
Andaman and Nicobar Islands,2020-04-19,1,1.0
Andaman and Nicobar Islands,2020-04-20,1,2.0
Andaman and Nicobar Islands,2020-04-21,1,2.0
Andaman and Nicobar Islands,2020-04-22,1,2.0
Andaman and Nicobar Islands,2020-04-23,4,3.0
Andaman and Nicobar Islands,2020-04-24,7,3.0
Andaman and Nicobar Islands,2020-04-25,4,2.0
Andaman and Nicobar Islands,2020-04-26,0,2.0
Andaman and Nicobar Islands,2020-04-27,0,1.0
Andaman and Nicobar Islands,2020-04-28,0,1.0
Andaman and Nicobar Islands,2020-04-29,0,0.0
Andaman and Nicobar Islands,2020-04-30,0,0.0
Andaman and Nicobar Islands,2020-05-01,0,0.0
Andaman and Nicobar Islands,2020-05-02,0,0.0
Andaman and Nicobar Islands,2020-05-03,0,0.0
Andaman and Nicobar Islands,2020-05-04,0,0.0
Andaman and Nicobar Islands,2020-05-05,0,0.0
Andaman and Nicobar Islands,2020-05-06,0,0.0
Andaman and Nicobar Islands,2020-05-07,0,0.0
Andaman and Nicobar Islands,2020-05-08,0,0.0
Andaman and Nicobar Islands,2020-03-14,0,0.0
Andaman and Nicobar Islands,2020-03-15,0,0.0
Andaman and Nicobar Islands,2020-03-16,0,0.0
Andaman and Nicobar Islands,2020-03-17,0,0.0
Andaman and Nicobar Islands,2020-03-18,0,0.0
Andaman and Nicobar Islands,2020-03-19,0,0.0
Andaman and Nicobar Islands,2020-03-20,0,0.0
Andaman and Nicobar Islands,2020-03-21,0,0.0
Andaman and Nicobar Islands,2020-03-22,0,0.0
Andaman and Nicobar Islands,2020-03-23,0,0.0
Andaman and Nicobar Islands,2020-03-24,0,1.0
Andaman and Nicobar Islands,2020-03-25,0,1.0
Andaman and Nicobar Islands,2020-03-26,1,1.0
Andaman and Nicobar Islands,2020-03-27,5,1.0
Andaman and Nicobar Islands,2020-03-28,3,1.0
Andaman and Nicobar Islands,2020-03-29,0,1.0
Andaman and Nicobar Islands,2020-03-30,1,1.0
Andaman and Nicobar Islands,2020-03-31,0,1.0
Andaman and Nicobar Islands,2020-04-01,0,0.0
Andaman and Nicobar Islands,2020-04-02,0,0.0
Andaman and Nicobar Islands,2020-04-03,0,0.0
Andaman and Nicobar Islands,2020-04-04,0,0.0
Andaman and Nicobar Islands,2020-04-05,0,0.0
Andaman and Nicobar Islands,2020-04-06,0,0.0
Andaman and Nicobar Islands,2020-04-07,0,0.0
Andaman and Nicobar Islands,2020-04-08,1,0.0
Andaman and Nicobar Islands,2020-04-09,0,0.0
Andaman and Nicobar Islands,2020-04-10,0,0.0
Andaman and Nicobar Islands,2020-04-11,0,0.0
Andaman and Nicobar Islands,2020-04-12,0,0.0
Andaman and Nicobar Islands,2020-04-13,0,0.0
Andaman and Nicobar Islands,2020-04-14,0,0.0
Andaman and Nicobar Islands,2020-04-15,0,0.0
Andaman and Nicobar Islands,2020-04-16,0,1.0
Andaman and Nicobar Islands,2020-04-17,1,1.0
Andaman and Nicobar Islands,2020-04-18,2,1.0
Andaman and Nicobar Islands,2020-04-19,1,1.0
